2018-12-16 10:42:18,069 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/main/java
2018-12-16 10:42:18,070 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/main/resources
2018-12-16 10:42:18,071 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.hospital.is/src/test/java
2018-12-16 10:42:18,071 [Worker-19: Creating project "com.hospital.is"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.hospital.is/src/test/resources
2018-12-16 10:42:18,317 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:42:18,320 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:42:18,321 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:42:18,322 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:43:31,383 [Worker-22: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HospitalWeb:com.hospital.is:0.0.1-SNAPSHOT @ E:\WorkSpace\HospitalWeb\pom.xml.
2018-12-16 10:43:31,542 [Worker-22: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:43:31,543 [Worker-22: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:43:31,545 [Worker-22: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:43:31,546 [Worker-22: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:44:19,126 [Worker-24: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:44:19,129 [Worker-24: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:44:19,138 [Worker-24: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:44:19,140 [Worker-24: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:44:36,168 [Worker-3: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:44:36,170 [Worker-3: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:44:36,171 [Worker-3: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:44:36,172 [Worker-3: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:44:49,894 [Worker-23: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-16 10:44:49,898 [Worker-23: Rebuilding] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-16 10:44:49,899 [Worker-23: Rebuilding] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
